Degree,Profession,Age,Gender,Leadership POS,Act Member POS,CGPA,Average Prof Grade,Average Elec Grade,OJT Grade,SS_1,SS_2,SS_3,SS_4,SS_5,SS_6,HS_1,HS_2,HS_3,HS_4,HS_5,HS_6,Soft Skills Ave,Hard Skills Ave,Database Management Skills,Java Programming Skills,Networking Skills,Python Programming Skills,System Design Skills,Web Development Skills,Cybersecurity Skills,Cloud Computing Skills,Data Structures & Algorithms,Machine Learning Skills,Programming Logic Skills,Software Engineering Skills,Artificial Intelligence Skills,Auditing Skills,Budgeting & Analysis Skills,Financial Accounting Skills,Taxation Skills,Risk Management Skills,Financial Management Skills,Leadership & Decision-Making Skills,Marketing Skills,Strategic Planning Skills,Consumer Behavior Analysis,Sales Management Skills,Innovation & Business Planning Skills,Food & Beverage Operations Skills,Front Office & Reservations Skills,Housekeeping Standards Skills,Events & Banquet Coordination Skills,Customer Experience & Guest Relations Skills,Clinical & Patient Care Skills,Pharmacology & Medication Skills,Community Health & Education Skills,Infection Control & Safety Skills,Nursing Assessment & Documentation Skills,Circuit Analysis & Electronics Skills,Embedded Systems Skills,Network & Telecom Skills,RF & Wireless Basics Skills,Technical Troubleshooting Skills,Classroom Management Skills,Curriculum Development Skills,Educational Technology Skills,Teaching Skills,English Communication & Writing Skills,Mathematics Instruction & Reasoning Skills,Filipino Communication & Writing Skills,Child Development & Learning Skills,Foundational Literacy & Numeracy Skills,Technical Knowledge in Degree
BSIT,Web Developer,25,Male,Yes,No,2.75,90.9,85.7,93.6,71.86,67.4,52.35,54.71,83.79,84.54,74.1,84.21,75.39,60.18,59.46,65.79,69.11,69.85,83.17,80.29,82.1,83.17,63.88,97.8,60.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Web Developer,23,Male,Yes,Yes,2.97,82.3,92.3,85.0,85.51,80.88,83.11,81.19,61.61,80.35,58.78,85.53,85.05,62.79,83.58,71.11,78.77,74.47,66.55,80.27,64.37,58.66,63.41,99.67,82.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,IT Support Specialist,26,Female,No,Yes,1.47,95.6,84.5,99.0,61.56,55.9,67.64,78.23,63.29,73.82,72.9,68.48,75.18,63.92,79.81,55.06,66.74,69.22,83.92,73.08,96.64,78.77,76.78,68.2,59.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,IT Support Specialist,22,Female,No,No,1.89,91.8,89.8,84.7,75.94,65.65,78.93,58.26,72.49,66.62,84.18,65.64,62.36,82.5,76.23,66.28,69.65,72.86,70.37,76.92,92.84,80.22,84.88,78.61,76.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Cybersecurity Analyst,26,Male,Yes,No,1.69,84.8,82.3,86.5,69.1,82.59,54.62,66.92,74.67,59.0,79.37,72.3,63.54,77.96,55.19,81.28,67.82,71.61,79.56,60.98,69.9,62.92,84.82,72.5,92.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Web Developer,23,Female,No,No,2.44,92.1,89.1,95.4,71.72,84.3,78.77,69.09,61.33,60.9,77.32,81.8,73.25,76.94,64.61,57.71,71.02,71.94,66.0,65.61,66.95,73.12,61.87,97.06,77.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Software Engineer,27,Female,No,No,2.06,84.9,87.9,97.0,73.03,77.04,82.84,79.56,65.69,52.21,67.31,81.37,84.87,88.37,69.67,81.16,71.73,78.79,73.29,96.79,64.18,64.14,70.2,58.81,67.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Web Developer,23,Female,Yes,Yes,3.02,90.3,91.3,79.8,67.43,83.21,58.54,61.37,63.78,68.37,66.81,85.79,64.74,88.29,69.75,84.22,67.12,76.6,71.17,78.97,59.46,84.65,64.28,90.4,84.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Software Engineer,24,Male,Yes,Yes,1.72,88.6,83.6,99.0,68.74,61.22,65.28,73.81,86.69,77.86,82.22,60.73,65.89,75.25,87.51,75.15,72.27,74.46,83.42,96.97,84.36,63.55,74.58,81.26,64.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Cybersecurity Analyst,22,Male,No,No,2.54,83.0,91.1,78.3,67.12,69.65,67.61,65.04,84.1,68.55,60.35,61.16,73.26,77.77,76.56,87.19,70.34,72.72,79.69,71.02,81.12,74.59,67.02,64.87,92.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Web Developer,24,Female,No,No,1.31,93.9,84.5,84.4,80.72,64.25,83.69,77.24,61.95,52.37,88.18,58.0,80.2,72.1,81.54,79.17,70.04,76.53,76.09,71.74,80.2,60.61,64.2,95.82,66.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Cybersecurity Analyst,26,Female,No,No,2.62,85.8,85.5,80.5,58.93,56.3,71.29,79.44,58.67,59.79,71.95,80.36,89.18,73.36,64.9,58.52,64.07,73.05,63.44,64.37,63.02,58.4,72.96,65.68,95.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Network Administrator,28,Male,Yes,No,2.17,88.2,84.6,79.1,85.88,69.2,81.6,66.43,54.67,74.66,56.88,60.22,74.7,65.63,89.79,59.15,72.07,67.73,79.4,74.98,98.6,64.32,72.63,70.61,70.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Web Developer,25,Male,Yes,Yes,2.47,85.7,83.1,83.0,71.87,57.64,66.71,76.82,68.92,53.18,65.08,64.9,85.09,57.49,63.17,64.26,65.85,66.66,80.15,74.51,80.51,63.54,61.21,92.66,62.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Network Administrator,22,Male,Yes,No,2.41,93.5,94.9,87.2,68.87,62.95,66.49,61.8,71.44,67.76,75.93,86.13,80.71,76.13,55.91,63.01,66.55,72.97,76.88,82.09,97.63,58.58,79.41,81.0,74.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Network Administrator,28,Female,No,Yes,3.19,88.1,93.4,98.4,68.92,66.7,63.56,55.77,57.79,66.82,72.34,78.19,69.02,81.62,56.28,58.08,63.26,69.26,65.07,61.25,94.62,82.22,81.1,58.03,82.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Software Engineer,24,Female,No,No,2.73,84.8,89.7,97.5,67.77,77.14,56.37,87.03,73.92,60.61,60.54,74.28,74.33,58.26,89.73,86.95,70.47,74.02,70.92,98.35,81.3,71.95,78.06,72.25,65.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Web Developer,24,Female,Yes,No,1.62,90.4,92.4,81.9,54.51,79.82,82.76,64.24,80.36,61.62,55.09,80.41,84.31,75.3,78.1,85.28,70.55,76.42,70.5,71.56,67.31,79.36,68.56,99.81,82.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Web Developer,24,Female,Yes,No,2.7,91.9,93.4,86.1,75.89,81.55,87.31,69.83,53.33,70.08,75.66,85.44,85.6,70.41,73.41,70.99,73.0,76.92,78.23,69.48,76.33,62.32,71.15,96.93,67.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Software Engineer,26,Female,No,No,2.95,82.5,83.0,91.3,85.15,87.91,78.88,67.62,55.54,74.81,85.54,70.53,79.29,86.62,56.61,82.87,74.99,76.91,66.21,90.79,62.08,72.87,73.85,80.19,62.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Web Developer,24,Female,Yes,Yes,2.15,85.6,85.6,78.2,80.97,84.44,76.39,57.69,67.9,64.44,75.57,77.36,69.85,63.75,84.59,61.97,71.97,72.18,68.77,71.53,64.64,74.01,74.09,99.78,66.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Web Developer,25,Male,Yes,No,2.87,94.6,92.9,82.8,80.87,59.88,58.84,61.02,79.2,79.63,78.83,59.79,58.4,76.96,56.38,82.6,69.91,68.83,58.93,68.22,61.68,83.47,67.15,97.87,63.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,IT Support Specialist,29,Female,Yes,No,3.03,95.2,95.5,84.2,83.33,80.95,68.86,54.71,79.15,60.12,78.67,78.6,68.91,84.6,74.51,58.16,71.19,73.91,69.05,65.4,96.39,68.32,78.97,65.34,68.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,IT Support Specialist,22,Male,No,Yes,2.46,95.2,86.6,90.8,75.32,74.87,68.71,77.24,75.37,56.2,56.59,56.3,89.86,59.06,63.22,73.81,71.29,66.47,68.88,68.39,98.85,77.5,73.13,74.45,78.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Software Engineer,28,Female,No,Yes,2.6,85.0,88.2,83.0,65.06,87.31,65.22,84.46,75.21,54.18,64.66,88.89,88.22,83.85,58.21,62.42,71.91,74.37,75.91,98.3,59.42,67.34,85.69,80.04,63.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Cybersecurity Analyst,24,Male,Yes,No,2.76,93.0,90.3,83.8,87.43,87.55,71.45,80.75,55.96,83.19,59.61,67.54,82.6,75.61,55.55,64.29,77.72,67.53,61.55,69.79,61.18,59.78,70.55,68.14,94.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Network Administrator,21,Female,No,Yes,1.37,88.7,87.6,93.3,69.65,84.75,54.65,54.91,73.9,54.36,64.63,77.16,74.19,66.38,89.81,73.57,65.37,74.29,70.7,74.95,97.21,77.65,81.88,76.23,79.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Web Developer,24,Female,No,No,2.03,92.2,86.4,84.6,61.18,86.33,76.73,69.07,55.28,55.07,70.12,81.06,68.04,59.55,57.1,88.48,67.28,70.73,73.73,76.76,69.5,82.46,84.35,90.51,83.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,IT Support Specialist,25,Female,Yes,Yes,1.55,88.8,93.9,88.0,72.03,56.14,62.03,60.14,67.45,72.19,81.86,76.76,78.62,74.49,76.31,78.02,65.0,77.68,77.42,58.81,91.43,79.35,83.8,67.83,63.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Software Engineer,23,Male,Yes,Yes,1.98,88.4,84.2,85.4,63.68,85.89,73.46,83.8,57.6,79.16,56.74,57.86,70.51,69.84,76.25,69.5,73.93,66.78,64.04,93.08,67.66,61.1,76.99,74.61,72.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,Cybersecurity Analyst,21,Male,Yes,No,3.09,92.7,92.7,84.1,56.32,69.91,67.5,56.65,71.17,60.28,74.56,78.38,67.4,68.9,80.97,70.27,63.64,73.41,70.87,60.18,66.77,70.02,69.32,75.92,94.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSIT,IT Support Specialist,23,Female,No,Yes,2.1,83.5,88.1,86.4,54.83,83.34,78.85,59.98,80.05,54.75,77.16,73.57,61.79,82.17,67.29,88.54,68.63,75.09,76.07,62.14,90.75,65.17,62.86,62.28,79.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
